,3 månader,,,,12 månader,,,
Områden,Antal sålda,Kr/kvm,Medelpris kr ,Prisutveckling (%),Antal sålda,Kr/kvm,Medelpris kr,Prisutveckling (%),Plats
Stockholms,7482,82981,4952000,2.6,26261,81393,4792000,5.3,1
Danderyds,133,64370,4336000,-1.4,464,64065,4119000,4.7,2
Nacka,749,60237,4292000,3,2456,58031,4087000,12.1,3
Lidingö,208,63478,4266000,2.9,685,61786,4331000,8,4
Solna,914,65017,4108000,2.1,3124,63553,4030000,7.1,5
Sundbybergs,534,62019,3858000,1.2,1796,60706,3735000,6.2,6
Vaxholms,43,51645,3818000,3.5,196,49648,3744000,11.3,7
Värmdö,198,50596,3784000,-0.6,593,48645,3648000,12.8,8
Ekerö,46,46555,3552000,6,210,43727,3653000,9,9
Täby,442,49998,3432000,1.8,1592,49239,3298000,8.9,10
Sollentuna,360,46665,3369000,0.2,1278,45781,3211000,8.3,11
Tyresö,156,43044,3083000,5.1,634,41512,3044000,8,12
Huddinge,462,43146,2987000,-2.6,1544,43257,2876000,7,13
Österåkers,179,39264,2912000,1.7,593,37662,2768000,4.6,14
Upplands-Bro,146,34200,2685000,4.6,451,32943,2440000,11.6,15
Nykvarns,34,33225,2672000,F,68,34763,2541000,-6.2,16
Vallentuna,134,33976,2515000,-11.9,472,35907,2458000,-0.9,17
Haninge,392,36331,2481000,3.4,1510,35814,2457000,10.9,18
Upplands Väsby,232,34827,2464000,-4.1,823,35139,2492000,5.8,19
Järfälla,457,37771,2452000,-1.5,1642,37743,2480000,3.5,20
Salems,53,34545,2390000,2,199,34348,2657000,8.4,21
Nynäshamns,130,33342,2360000,4.4,429,32169,2103000,26.8,22
Botkyrka,317,33964,2254000,1.9,1090,33684,2269000,2.7,23
Södertälje,258,31204,2147000,4.6,1058,30707,2123000,4.2,24
Sigtuna,156,28475,2125000,-2.2,581,28802,2121000,-4.1,25
Norrtälje,235,30245,2042000,-1,866,29585,1989000,14.1,26
